Day fraction since midnight on 11/10/2022	7 kPa (cm)	Raw Water Pump ()	Pump Control ()	Clay Pump ()	PACl Pump ()	Floc Recycle Pump ()	Bulk Effluent Pump ()	ChemTrac Read All ()	PC 1.2 Total N ()	PC 1.2 Bin 1 N ()	PC 1.2 Bin 2 N ()	PC 1.2 Bin 3 N ()	PC 1.2 Bin 4 N ()	PC 1.2 Bin 5 N ()	PC 1.2 Bin 6 N ()	PC 1.2 Cell ()	PC 1.3 Total N ()	PC 1.3 Bin 1 N ()	PC 1.3 Bin 2 N ()	PC 1.3 Bin 3 N ()	PC 1.3 Bin 4 N ()	PC 1.3 Bin 5 N ()	PC 1.3 Bin 6 N ()	PC 1.3 Cell ()	PACl Scale ()	Raw Turbidity ()	Settled Water Turbidimeter ()	Basin Pump Duty Cycle ()
0.03021059	18.20828056	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	5162.42849636	28635.00000000	145.00000000	472.00000000	3220.00000000	13667.00000000	10881.00000000	249.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.30000000	110.00000000	110.00000000	0.00000000
0.03090508	18.64745903	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	5222.34009933	28676.00000000	127.00000000	434.00000000	3040.00000000	13331.00000000	11420.00000000	323.00000000	84.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.30000000	110.00000000	110.00000000	0.00000000
0.03159951	19.06481552	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	5282.44396734	28635.00000000	137.00000000	447.00000000	3093.00000000	13445.00000000	11232.00000000	281.00000000	84.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.30000000	110.00000000	110.00000000	0.00000000
0.03229397	20.26625061	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	5342.35656261	28597.00000000	136.00000000	457.00000000	3124.00000000	13549.00000000	11099.00000000	232.00000000	84.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.30000000	110.00000000	110.00000000	0.00000000
0.03298843	22.53844070	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	5402.47565556	28659.00000000	133.00000000	452.00000000	3111.00000000	13478.00000000	11178.00000000	306.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.30000000	110.00000000	110.00000000	0.00000000
0.03368288	22.87664032	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	5462.38652897	28619.00000000	135.00000000	461.00000000	3184.00000000	13573.00000000	11024.00000000	243.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.30000000	110.00000000	110.00000000	0.00000000
0.03437733	16.29182053	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	5522.50731468	28617.00000000	137.00000000	476.00000000	3242.00000000	13859.00000000	10718.00000000	186.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.30000000	110.00000000	110.00000000	0.00000000
0.03507179	16.86261749	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	5582.42010736	28655.00000000	144.00000000	469.00000000	3247.00000000	13688.00000000	10842.00000000	263.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.30000000	110.00000000	110.00000000	0.00000000
0.03576624	17.14494896	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	5642.32894516	28595.00000000	146.00000000	487.00000000	3262.00000000	13765.00000000	10726.00000000	210.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.30000000	110.00000000	110.00000000	0.00000000
0.03646071	14.51333809	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	5702.43298721	28701.00000000	144.00000000	470.00000000	3279.00000000	13835.00000000	10716.00000000	256.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.30000000	110.00000000	110.00000000	0.00000000
